Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,146.010000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,W4SHL,146.980000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,"Columbiana, Fire Tower",,,,
2,W4SHL,147.320000,+,0.600000,Tone,88.5,88.5,023,NN,Auto,5.00,,"Helena, Dearing Downs",,,,
3,W4CUE,146.880000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,"Birmingham, Shades Mountain",,,,
4,W4CUE,443.900000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,Birmingham,,,,
5,,144.390000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,Millbrook,,,,
6,W3NH,147.030000,-,0.600000,Tone,67.0,88.5,023,NN,FM,5.00,,Warrior,,,,
7,KF4IZY,144.980000,+,0.600000,Tone,233.6,88.5,023,NN,FM,5.00,,"Tuscaloosa, Near VA Medical center",,,,
8,N4BRC,145.190000,-,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,"Pell City, Bald Rock Mountain ",,,,
9,WA4KIK,146.960000,-,0.600000,Tone,179.9,179.9,023,NN,Auto,5.00,,"Alexander City, Lake Martin",,,,
10,WX4CAL,146.780000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,"Anniston, Oak Mountain",,,,
11,WB4GNA,147.090000,+,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,"Anniston, Cheaha Mountain",,,,
12,KI4PSG,147.255000,+,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,Ashland,,,,
13,K4SCC,145.130000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,"Moody, Bald Rock Mountain",,,,
14,KK4BSK,146.760000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,"Moody, Bald Rock Mountain",,,,
15,WB4YRJ,145.150000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,"Bessemer, Shades Mountain",,,,
16,W4TPA,147.280000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,Birmingham,,,,
17,NU4A,145.390000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,Brent,,,,
18,WB4UQT,147.105000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,Clanton,,,,
